date,hyundai,kia,lg,samsung,sk,posco,news_num,search_vol,sentimental
2020-12-10,8,0,2,0,0,4,16,8289,0.361681266
2020-12-11,5,0,0,0,0,0,16,6777,0.102012629
2020-12-14,2,0,1,1,0,0,20,16971,0.338252589
2020-12-15,1,0,0,0,0,0,14,5210,0.270982412
2020-12-16,0,0,0,0,0,0,13,6031,0.095970071
2020-12-17,0,0,0,1,0,0,5,5542,0.552721748
2020-12-18,5,3,0,0,0,0,10,5243,0.581009155
2020-12-21,16,14,0,0,1,1,42,15352,0.278303183
2020-12-22,1,1,0,0,0,0,23,5634,0.319739956
2020-12-23,0,0,35,0,0,0,51,6625,0.443593436
2020-12-24,1,1,18,0,0,0,35,5363,0.278429882
2020-12-28,4,4,8,0,0,0,44,23297,0.275289198
2020-12-29,0,1,3,0,0,0,20,6922,0.290327757
2020-12-30,0,0,0,2,1,0,13,6262,0.185388807
2021-01-04,11,1,12,0,1,0,84,37086,0.234933361
2021-01-05,11,2,3,1,2,0,27,8721,0.400781444
2021-01-06,0,4,0,0,0,0,16,7189,0.328776847
2021-01-07,1,0,1,1,0,0,19,6540,0.242355307
2021-01-08,16,0,0,0,0,0,32,9677,0.248248332
2021-01-11,41,2,4,0,0,0,91,21626,0.378465853
2021-01-12,4,0,3,1,0,0,18,6841,0.255138853
2021-01-13,23,19,5,1,2,0,75,8374,0.230153983
2021-01-14,7,8,2,2,0,0,50,9166,0.263964076
2021-01-15,2,8,1,0,0,0,30,7898,0.214505521
2021-01-18,22,5,0,0,0,0,51,21367,0.206297065
2021-01-19,9,1,0,0,2,0,39,7201,0.116130171
2021-01-20,2,4,0,0,4,0,28,7522,0.346508353
2021-01-21,17,0,1,0,10,0,73,14774,0.290330376
2021-01-22,9,3,2,0,5,0,60,19270,0.245932004
2021-01-25,9,19,1,1,0,0,71,24930,0.340141262
2021-01-26,6,3,2,0,1,0,30,7234,0.305421163
2021-01-27,17,5,1,1,0,0,44,6761,0.324468501
2021-01-28,5,4,6,8,3,0,39,5902,0.175411006
2021-01-29,7,0,0,2,13,1,44,6601,0.395121637
2021-02-01,4,1,7,0,8,5,74,19145,0.320710047
2021-02-02,1,2,1,0,1,6,34,6985,0.290759921
2021-02-03,30,2,0,0,1,0,48,6534,0.416208231
2021-02-04,5,4,1,0,1,1,24,7153,0.388082464
2021-02-05,3,2,0,0,0,4,38,6682,0.536461161
2021-02-08,14,5,4,2,5,0,56,20488,0.201119641
2021-02-09,3,7,2,0,1,0,32,7184,0.261159036
2021-02-10,2,18,0,0,1,0,36,6200,0.332406243
2021-02-15,13,3,3,0,5,0,65,40009,0.324830944
2021-02-16,3,0,0,0,0,0,14,8532,0.296379405
2021-02-17,2,0,11,0,2,7,33,9309,0.287464829
2021-02-18,17,0,6,0,1,1,74,10184,0.375613208
2021-02-19,15,0,3,0,1,0,37,9124,0.454310479
2021-02-22,12,1,4,0,2,3,53,25794,0.275313165
2021-02-23,6,0,0,0,0,5,29,10912,0.423143856
2021-02-24,36,1,3,4,0,0,73,10536,0.41988028
2021-02-25,4,1,2,0,4,0,59,9876,0.368178097
2021-02-26,6,0,12,0,1,0,42,9146,0.352262667
2021-03-02,7,1,4,0,0,0,61,33634,0.356815276
2021-03-03,1,0,0,0,0,0,57,7897,0.342547362
2021-03-04,1,1,0,0,0,0,39,8185,0.427356405
2021-03-05,4,0,12,0,1,0,30,7427,0.328415238
2021-03-08,1,1,1,0,1,1,34,26439,0.283128545
2021-03-09,1,23,0,0,1,3,53,8421,0.171019076
2021-03-10,2,11,1,2,2,0,43,8394,0.310330341
2021-03-11,4,14,1,1,2,0,43,7805,0.318383552
2021-03-12,1,2,3,0,0,0,13,7265,0.156048382
2021-03-15,4,25,6,0,2,1,88,22760,0.359290394
2021-03-16,1,8,5,1,5,1,47,8089,0.290535527
2021-03-17,1,16,2,1,1,0,49,7855,0.301087652
